0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.061905,0,0.092079,0.12063,0,0,0,0.09,0.065,0,0.112,0.069333,0.057143,0,0.22623,0,0.086857,0,0,0,0.067407,0.069333,0.067974,0,0.095,0.125,0.17231,0.086111,0,0,0.061905,0,0.061905,0,0.095,0.14,0,0,0,0,0,0,0,0,0.065823,0,0,0,0,0
0.11261,0.12739,0.14762,0.074286,0.22277,0.33651,0.15196,0.10133,0.16533,0.21774,0.125,0.13333,0.32,0.13333,0.17143,0.11905,0.41241,0.15196,0.17371,0.13333,0.15196,0.11429,0.22815,0.10133,0.13072,0.12549,0.25,0.25,0.28923,0.26111,0.19,0,0.18095,0.10857,0.2381,0.15196,0.19,0.4225,0.19,0.17222,0.095,0.090476,0.13158,0.074286,0.243,0.074286,0.15696,0.13158,0.19588,0.18095,0,0.128
0.28378,0.25478,0.32857,0.21714,0.38911,0.59683,0.27451,0.432,0.26667,0.47323,0.22,0.26667,0.784,0.26667,0.5,0.3,0.73874,0.33824,0.288,0.23467,0.33824,0.22857,0.35778,0.26667,0.29281,0.25621,0.405,0.565,0.52,0.57222,0.345,0.23467,0.35714,0.17714,0.44762,0.33824,0.315,0.8275,0.345,0.27778,0.28,0.18095,0.29474,0.21714,0.42,0.21714,0.34937,0.29474,0.41753,0.89524,0.23007,0.26667
0.45045,0.41274,0.74286,0.36,0.70693,1.0508,0.61275,0.66667,0.432,0.88839,0.5,0.432,1.1947,0.832,0.86571,0.98095,1.9399,0.51961,0.77257,0.63467,0.55392,0.68571,1.037,0.56533,0.78431,0.6902,0.69,1.315,1.1723,0.88611,0.565,0.50133,0.83333,0.36,0.71429,0.51961,0.94,1.1725,0.78,0.83333,1.03,0.5381,0.52632,0.32,0.684,0.36,0.69873,0.49474,0.80412,1.519,0.39216,0.4
